2025-05-06 17:30:46,329 INFO    MainThread:15056 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-05-06 17:30:46,330 INFO    MainThread:15056 [wandb_setup.py:_flush():67] Configure stats pid to 15056
2025-05-06 17:30:46,330 INFO    MainThread:15056 [wandb_setup.py:_flush():67] Loading settings from C:\Users\danie\.config\wandb\settings
2025-05-06 17:30:46,330 INFO    MainThread:15056 [wandb_setup.py:_flush():67] Loading settings from C:\Users\danie\OneDrive\Desktop\INM706-Code-1\wandb\settings
2025-05-06 17:30:46,330 INFO    MainThread:15056 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-05-06 17:30:46,330 INFO    MainThread:15056 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\danie\OneDrive\Desktop\INM706-Code-1\wandb\run-20250506_173046-8lkokdi4\logs\debug.log
2025-05-06 17:30:46,330 INFO    MainThread:15056 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\danie\OneDrive\Desktop\INM706-Code-1\wandb\run-20250506_173046-8lkokdi4\logs\debug-internal.log
2025-05-06 17:30:46,330 INFO    MainThread:15056 [wandb_init.py:init():761] calling init triggers
2025-05-06 17:30:46,330 INFO    MainThread:15056 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'model': 'GRU', 'sequence_length': 30, 'batch_size': 32, 'epochs': 10, 'learning_rate': 0.001, 'dataset': 'prices-split-adjusted.csv', '_wandb': {}}
2025-05-06 17:30:46,330 INFO    MainThread:15056 [wandb_init.py:init():784] starting backend
2025-05-06 17:30:46,331 INFO    MainThread:15056 [wandb_init.py:init():788] sending inform_init request
2025-05-06 17:30:46,355 INFO    MainThread:15056 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-05-06 17:30:46,355 INFO    MainThread:15056 [wandb_init.py:init():798] backend started and connected
2025-05-06 17:30:46,357 INFO    MainThread:15056 [wandb_init.py:init():891] updated telemetry
2025-05-06 17:30:46,399 INFO    MainThread:15056 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-05-06 17:30:47,011 INFO    MainThread:15056 [wandb_init.py:init():990] starting run threads in backend
2025-05-06 17:30:47,137 INFO    MainThread:15056 [wandb_run.py:_console_start():2375] atexit reg
2025-05-06 17:30:47,138 INFO    MainThread:15056 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-05-06 17:30:47,138 INFO    MainThread:15056 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-05-06 17:30:47,138 INFO    MainThread:15056 [wandb_run.py:_redirect():2315] Redirects installed.
2025-05-06 17:30:47,142 INFO    MainThread:15056 [wandb_init.py:init():1032] run started, returning control to user process
2025-05-06 17:34:52,241 INFO    MsgRouterThr:15056 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
